,postcode, total_installations_quantity
354,2439,379.0
355,2440,1955.0
356,2441,655.0
357,2443,1327.0
358,2444,5199.0
359,2445,1076.0
360,2446,1605.0
361,2447,682.0
362,2448,882.0
363,2449,241.0
364,2450,4548.0
365,2452,1572.0
366,2453,279.0
367,2454,1065.0
368,2455,403.0
369,2456,1542.0
370,2460,2515.0
371,2462,222.0
372,2463,1065.0
373,2464,1014.0
374,2465,32.0
375,2466,249.0
376,2469,407.0
377,2470,1422.0
378,2471,240.0
379,2472,232.0
380,2473,354.0
381,2474,599.0
382,2475,17.0
383,2476,21.0
384,2477,1795.0
385,2478,3426.0
386,2479,674.0
387,2480,5603.0
388,2481,1800.0
389,2482,1007.0
390,2483,1223.0
391,2484,1546.0
392,2485,1202.0
393,2486,2761.0
394,2487,1238.0
395,2488,334.0
396,2489,701.0
397,2490,64.0
398,2500,637.0
399,2502,302.0
400,2505,122.0
401,2506,249.0
402,2508,606.0
403,2515,408.0
404,2516,178.0
405,2517,384.0
406,2518,455.0
407,2519,446.0
408,2525,356.0
409,2526,430.0
410,2527,565.0
411,2528,778.0
412,2529,502.0
413,2530,1137.0
414,2533,1111.0
415,2534,411.0
416,2535,642.0
417,2536,1185.0
418,2537,1160.0
419,2538,213.0
420,2539,1301.0
421,2540,4157.0
422,2541,1651.0
423,2545,146.0
424,2546,1233.0
425,2548,351.0
426,2549,217.0
427,2550,941.0
428,2551,200.0
429,2555,5.0
430,2556,63.0
431,2557,121.0
432,2558,167.0
433,2559,58.0
434,2560,2025.0
435,2563,11.0
436,2564,501.0
437,2565,387.0
438,2566,667.0
439,2567,316.0
440,2568,203.0
441,2569,99.0
442,2570,1080.0
443,2571,642.0
444,2572,165.0
445,2573,95.0
446,2574,176.0
447,2575,440.0
448,2576,161.0
449,2577,472.0
450,2578,91.0
451,2579,155.0
452,2580,292.0
453,2581,77.0
454,2582,418.0
455,2583,84.0
456,2584,11.0
457,2585,8.0
458,2586,62.0
459,2587,47.0
460,2588,12.0
461,2590,83.0
462,2594,191.0
463,2600,122.0
464,2601,11.0
465,2602,947.0
466,2603,146.0
467,2604,121.0
468,2605,339.0
469,2606,175.0
470,2607,308.0
471,2609,9.0
472,2611,1208.0
473,2612,177.0
474,2614,578.0
475,2615,1956.0
476,2617,716.0
477,2618,68.0
478,2619,81.0
479,2620,1125.0
480,2621,260.0
481,2622,118.0
482,2623,14.0
483,2625,2.0
484,2626,14.0
485,2627,113.0
486,2628,44.0
487,2629,4.0
488,2630,123.0
489,2631,9.0
490,2632,39.0
491,2633,20.0
492,2640,559.0
493,2641,127.0
494,2642,179.0
495,2643,47.0
496,2644,74.0
497,2645,19.0
498,2646,88.0
499,2647,80.0
500,2648,81.0
501,2650,697.0
502,2651,32.0
503,2652,136.0
504,2653,55.0
505,2655,49.0
506,2656,35.0
507,2658,31.0
508,2659,26.0
509,2660,33.0
510,2661,2.0
511,2663,71.0
512,2665,30.0
513,2666,86.0
514,2668,10.0
515,2669,24.0
516,2671,44.0
517,2672,28.0
518,2675,15.0
519,2680,155.0
520,2681,8.0
521,2700,48.0
522,2701,56.0
523,2702,12.0
524,2703,7.0
525,2705,119.0
526,2706,14.0
527,2707,22.0
528,2710,186.0
529,2711,66.0
530,2712,20.0
531,2713,29.0
532,2714,101.0
533,2715,23.0
534,2716,45.0
535,2717,22.0
536,2720,124.0
537,2721,2.0
538,2722,77.0
539,2725,11.0
540,2726,6.0
541,2727,6.0
542,2729,42.0
543,2730,40.0
544,2731,302.0
545,2732,76.0
546,2733,14.0
547,2734,9.0
548,2735,5.0
549,2736,9.0
550,2737,11.0
551,2738,133.0
552,2739,81.0
553,2745,430.0
554,2747,774.0
555,2748,89.0
556,2749,233.0
557,2750,1115.0
558,2752,236.0
559,2753,571.0
560,2754,235.0
561,2756,831.0
562,2757,25.0
563,2758,426.0
564,2759,303.0
565,2760,494.0
566,2761,214.0
567,2762,62.0
568,2763,250.0
569,2765,413.0
570,2766,166.0
571,2767,254.0
572,2768,158.0
573,2769,61.0
574,2770,878.0
575,2773,168.0
576,2774,343.0
577,2775,52.0
578,2776,126.0
579,2777,421.0
580,2778,103.0
581,2779,108.0
582,2780,173.0
583,2782,132.0
584,2783,53.0
585,2784,31.0
586,2785,75.0
587,2786,31.0
588,2787,120.0
589,2790,213.0
590,2791,10.0
591,2792,23.0
592,2793,32.0
593,2794,159.0
594,2795,678.0
595,2797,17.0
596,2798,81.0
597,2799,72.0
598,2800,1010.0
599,2803,14.0
600,2804,110.0
601,2805,13.0
602,2806,21.0
603,2807,7.0
604,2808,3.0
605,2809,4.0
606,2810,94.0
607,2817,1.0
608,2818,8.0
609,2820,118.0
610,2821,138.0
611,2822,
612,2823,48.0
613,2824,87.0
614,2825,58.0
615,2827,148.0
616,2828,34.0
617,2829,138.0
618,2830,1254.0
619,2831,110.0
620,2832,41.0
621,2833,20.0
622,2834,92.0
623,2835,104.0
624,2836,5.0
625,2839,6.0
626,2840,104.0
627,2842,32.0
628,2843,26.0
629,2844,29.0
630,2845,16.0
631,2846,21.0
632,2847,55.0
633,2848,49.0
634,2849,62.0
635,2850,637.0
636,2852,84.0
637,2864,24.0
638,2865,41.0
639,2866,111.0
640,2867,19.0
641,2868,29.0
642,2869,35.0
643,2870,168.0
644,2871,113.0
645,2873,28.0
646,2874,12.0
647,2875,27.0
648,2876,10.0
649,2877,140.0
650,2878,6.0
651,2879,8.0
652,2880,157.0
653,2898,64.0
654,2900,18.0
655,2902,444.0
656,2903,256.0
657,2904,342.0
658,2905,489.0
659,2906,163.0
660,2911,51.0
661,2912,18.0
662,2913,213.0
663,2914,489.0
664,3000,20.0
665,3002,23.0
666,3003,64.0
667,3004,5.0
668,3006,8.0
669,3008,9.0
670,3011,399.0
671,3012,864.0
672,3013,340.0
673,3015,535.0
674,3016,252.0
675,3018,396.0
676,3019,341.0
677,3020,1020.0
678,3021,709.0
679,3022,83.0
680,3023,4287.0
681,3024,3561.0
682,3025,274.0
683,3026,10.0
684,3027,1730.0
685,3028,363.0
686,3029,12656.0
