dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3008",0,0,0,0,0,0,0,0,0,0
2,1,0,"3025",15,1,3,1,1,3,0,2,1,0
3,1,1,"3036",6,0,0,0,1,0,0,0,0,0
2,1,1,"3038",14,2,1,2,1,1,0,0,3,0
1,1,1,"3054",12,0,0,2,2,1,0,0,3,1
0,0,1,"3002",6,0,2,0,1,0,0,1,0,1
0,0,0,"3003",3,0,0,0,2,0,0,0,0,1
0,0,0,"3000",1,0,0,0,0,0,1,0,0,0
0,0,0,"3066",6,0,0,1,4,0,0,0,1,0
0,0,0,"3004",0,0,0,0,0,0,0,0,0,0
0,0,3,"3006",3,0,0,0,0,0,0,0,0,0
1,2,0,"3011",43,17,3,7,4,3,1,2,1,2
2,1,3,"3013",16,0,1,1,2,0,2,1,1,2
4,0,3,"3012",65,6,7,8,2,4,6,17,4,4
1,7,3,"3016",47,8,2,5,2,2,6,4,3,4
7,3,8,"3015",42,3,2,2,2,6,0,4,3,2
2,2,6,"3018",28,0,1,1,1,0,1,3,2,9
2,2,15,"3019",55,21,0,3,2,5,1,3,0,1
0,0,1,"3022",8,1,3,0,0,2,1,0,0,0
17,5,11,"3201",125,3,2,15,5,2,10,6,31,18
12,9,14,"3020",103,8,4,6,14,17,3,6,4,6
2,9,13,"3021",58,5,2,2,2,10,1,6,3,3
53,35,36,"3023",445,43,35,29,60,40,14,29,42,29
62,43,42,"3024",496,37,45,33,44,44,24,43,35,44
0,0,0,"3026",0,0,0,0,0,0,0,0,0,0
25,26,22,"3027",216,22,14,13,20,22,3,23,11,15
15,17,14,"3037",143,9,10,12,14,20,9,7,9,7
6,3,2,"3028",34,3,3,3,1,2,2,4,2,3
157,144,106,"3029",1344,107,128,85,126,141,70,97,79,104
169,156,158,"3030",1735,157,128,126,178,182,59,165,126,131
0,0,0,"3202",0,0,0,0,0,0,0,0,0,0
0,0,2,"3031",11,2,1,0,0,1,0,4,0,1
1,3,1,"3032",30,2,1,3,3,3,1,6,3,3
0,8,2,"3033",32,2,4,3,4,2,0,2,3,2
3,1,2,"3034",19,0,0,4,2,1,1,0,2,3
1,0,0,"3039",6,3,0,1,1,0,0,0,0,0
4,1,0,"3040",26,5,3,2,0,1,0,2,3,5
3,0,0,"3041",14,0,1,3,1,2,2,0,1,1
5,8,6,"3042",45,0,3,1,8,3,1,2,4,4
1,1,2,"3043",11,0,0,1,0,0,4,1,1,0
2,0,2,"3044",35,3,3,3,0,1,9,3,1,8
0,0,0,"3045",0,0,0,0,0,0,0,0,0,0
4,9,4,"3046",78,6,2,6,13,8,5,4,10,7
1,8,2,"3047",26,0,0,0,1,3,3,6,2,0
0,4,1,"3048",16,0,0,0,0,3,6,2,0,0
1,1,4,"3049",22,3,0,3,2,2,1,2,2,1
0,1,0,"3087",8,1,2,0,1,0,0,0,1,2
7,4,9,"3088",70,3,3,0,2,28,4,5,3,2
0,0,4,"3051",17,0,1,2,10,0,0,0,0,0
0,1,0,"3052",18,11,1,4,0,0,0,0,1,0
0,1,2,"3053",4,0,0,0,0,0,0,0,0,1
2,1,0,"3055",19,0,1,1,1,2,0,1,9,1
11,5,4,"3056",43,1,3,5,1,5,0,3,2,3
4,9,5,"3163",42,0,5,1,4,4,0,3,5,2
0,47,1,"3057",108,46,0,0,1,0,1,1,4,7
2,0,2,"3107",16,0,1,1,1,1,1,1,4,2
4,7,1,"3058",52,3,7,4,6,7,3,6,2,2
7,5,3,"3059",36,0,8,2,3,1,1,2,2,2
0,0,6,"3060",14,0,0,0,1,2,1,0,0,4
1,0,2,"3108",18,1,4,2,0,0,0,5,1,2
4,9,1,"3109",31,1,2,1,1,5,0,4,2,1
1,1,0,"3111",17,0,5,2,1,2,0,3,0,2
0,0,0,"3113",12,1,1,0,7,1,1,0,1,0
0,0,0,"3061",1,0,0,0,0,0,1,0,0,0
11,7,9,"3136",120,8,10,9,8,10,4,9,19,16
1,0,3,"3167",13,1,1,0,1,4,0,1,1,0
0,0,0,"3062",0,0,0,0,0,0,0,0,0,0
0,0,1,"3063",2,0,0,0,0,1,0,0,0,0
