dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3114",3,0,1,1,0,0,1,0,0,0
0,0,3,"3115",7,0,0,2,1,0,0,1,0,0
1,0,0,"3116",6,0,0,1,1,1,0,0,2,0
2,4,3,"3121",54,0,3,4,26,2,0,4,0,6
2,3,1,"3122",13,0,0,1,2,0,1,2,1,0
1,1,2,"3137",15,2,0,1,3,2,1,0,1,1
3,3,3,"3138",25,4,3,0,1,2,1,0,1,4
1,2,1,"3139",22,5,2,3,1,0,1,1,3,2
2,0,1,"3123",9,2,1,1,0,1,1,0,0,0
0,5,5,"3124",29,0,4,0,2,1,0,8,2,2
3,1,47,"3125",75,1,8,4,6,1,0,3,1,0
3,1,1,"3140",40,1,1,15,0,2,7,1,3,5
1,0,1,"3126",32,1,2,2,0,22,0,1,2,0
1,1,4,"3127",19,1,1,3,5,0,2,1,0,0
0,2,0,"3141",8,2,2,0,0,0,0,0,0,2
6,2,4,"3128",39,3,1,5,3,3,2,4,0,6
13,5,9,"3149",99,6,14,8,7,9,8,6,4,10
19,11,8,"3150",97,11,9,5,7,9,3,7,2,6
22,27,13,"3335",183,12,19,12,20,28,4,15,0,11
28,14,15,"3337",190,13,19,10,19,21,8,17,14,12
21,14,16,"3338",195,17,24,19,12,19,7,20,10,16
4,0,3,"3129",29,7,0,1,4,2,2,3,2,1
8,6,5,"3130",64,4,6,6,13,5,1,4,2,4
3,3,5,"3131",39,8,2,2,1,3,1,5,5,1
1,1,2,"3132",34,1,1,4,0,7,9,4,3,1
0,1,1,"3133",16,2,4,1,1,0,4,0,1,1
2,0,6,"3134",31,2,1,3,5,3,4,4,1,0
6,1,3,"3135",31,2,1,4,5,4,2,2,1,0
0,0,0,"3142",7,0,0,1,1,2,0,1,1,1
0,0,0,"3143",3,0,1,0,0,0,0,0,2,0
19,6,12,"3340",163,15,10,21,8,9,4,17,20,22
0,1,0,"3144",33,0,0,30,0,0,0,2,0,0
7,10,0,"3151",26,0,1,2,2,3,0,1,0,0
7,8,8,"3152",84,4,8,11,7,9,4,4,8,6
1,1,2,"3153",24,3,0,1,0,0,2,3,0,11
1,1,5,"3145",24,0,1,3,5,1,2,1,2,2
1,1,1,"3146",24,0,2,6,3,3,1,2,4,0
6,4,2,"3147",45,1,1,3,5,3,2,8,4,6
5,1,4,"3148",31,2,1,1,3,0,0,12,2,0
0,0,0,"3154",2,1,1,0,0,0,0,0,0,0
1,0,2,"3155",28,5,0,6,4,0,2,6,0,2
2,1,3,"3156",20,0,0,4,3,3,0,1,1,2
3,2,2,"3161",14,2,0,3,0,0,0,2,0,0
0,0,2,"3158",5,0,0,0,0,0,0,0,1,2
1,1,3,"3162",22,1,2,4,4,3,1,1,0,1
0,0,0,"3159",0,0,0,0,0,0,0,0,0,0
0,0,2,"3160",7,0,0,0,0,1,2,1,0,1
9,10,7,"3165",84,16,9,5,7,6,3,3,4,5
2,3,6,"3166",29,1,3,2,3,2,1,2,0,4
2,0,2,"3168",31,0,4,3,5,9,3,2,1,0
4,0,0,"3169",12,1,2,4,0,0,0,1,0,0
3,4,7,"3170",33,1,8,1,0,2,0,6,1,0
4,0,0,"3171",13,0,0,2,0,4,0,2,0,1
1,0,1,"3172",5,1,0,0,0,0,0,2,0,0
12,15,20,"3173",226,17,13,44,11,11,8,32,20,23
0,1,1,"3183",11,0,2,0,0,6,0,0,0,1
0,1,4,"3174",25,1,4,3,1,0,7,0,1,3
3,7,7,"3175",46,7,3,4,3,5,1,2,1,3
0,0,1,"3177",2,0,0,0,0,0,0,0,1,0
2,1,1,"3178",14,0,3,0,3,0,2,1,0,1
0,0,1,"3179",6,0,0,1,0,0,0,0,4,0
0,0,0,"3180",3,0,0,0,0,2,0,0,0,1
0,0,0,"3182",9,0,2,1,3,1,1,1,0,0
0,0,1,"3184",8,1,0,1,2,0,0,2,1,0
1,0,0,"3185",6,1,0,0,0,2,0,0,2,0
2,1,1,"3186",19,0,3,4,1,3,0,2,2,0
7,3,1,"3187",23,0,5,0,4,0,0,1,0,2
1,2,1,"3188",19,0,0,3,0,2,2,4,1,3
0,0,0,"3189",2,0,0,1,0,0,0,0,1,0
0,1,0,"3190",11,0,2,0,1,2,0,2,1,2
14,1,15,"3192",88,10,8,11,1,12,0,4,2,10
0,2,0,"3191",21,0,1,2,4,6,0,2,1,3
5,3,5,"3193",33,1,2,5,4,2,0,3,0,3
0,3,0,"3194",33,6,0,7,1,1,7,0,0,8
1,0,2,"3197",9,0,1,1,1,1,0,0,1,1
1,3,5,"3195",38,3,2,1,8,5,1,3,3,3
0,0,0,"3196",6,1,1,0,1,0,0,1,1,1
0,0,0,"3200",0,0,0,0,0,0,0,0,0,0
2,1,2,"3198",12,4,0,0,2,1,0,0,0,0
1,0,8,"3199",23,1,3,0,4,0,2,2,2,0
8,14,6,"3204",81,5,6,11,7,6,1,10,3,4
0,0,0,"3205",2,0,0,0,0,1,0,0,0,1
1,1,1,"3206",9,1,1,1,0,0,0,2,1,0
1,0,0,"3207",4,1,0,1,0,0,0,1,0,0
2,0,0,"3211",3,0,0,0,0,1,0,0,0,0
5,9,10,"3212",124,12,4,14,9,11,3,21,14,12
19,10,15,"3222",160,22,13,5,8,16,8,16,10,18
8,5,5,"3223",52,2,11,3,4,1,1,4,2,6
12,13,11,"3224",164,21,10,16,14,11,11,13,17,15
2,3,1,"3225",14,1,0,0,2,0,0,1,2,2
10,5,11,"3226",108,11,11,2,10,14,1,16,12,5
15,8,5,"3227",80,7,8,6,3,9,3,7,4,5
3,2,3,"3427",18,0,0,2,0,1,1,3,0,3
0,0,0,"3428",2,0,0,0,0,1,0,0,0,1
18,12,10,"3429",129,9,13,10,12,10,1,18,9,7
0,0,0,"3430",1,0,0,1,0,0,0,0,0,0
1,0,10,"3431",33,1,2,4,2,0,3,3,3,4
11,12,6,"3437",79,2,15,3,3,7,0,9,4,7
1,1,1,"3458",9,0,2,1,0,1,2,0,0,0
0,0,0,"3792",0,0,0,0,0,0,0,0,0,0
0,0,0,"3793",1,0,0,1,0,0,0,0,0,0
0,0,0,"3795",0,0,0,0,0,0,0,0,0,0
