dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3008",0,0,0,0,0,0,0,0,0,0
1,0,2,"3025",12,2,3,2,0,0,1,1,0,0
0,1,0,"3036",9,1,0,1,1,2,1,2,0,0
5,3,3,"3038",33,1,5,0,1,7,1,2,2,3
1,1,1,"3054",15,2,0,3,0,2,1,3,1,0
0,0,1,"3002",3,0,1,1,0,0,0,0,0,0
0,0,5,"3003",12,6,0,1,0,0,0,0,0,0
0,0,1,"3000",2,0,0,0,0,0,1,0,0,0
0,0,0,"3066",2,0,0,1,0,1,0,0,0,0
0,0,0,"3004",0,0,0,0,0,0,0,0,0,0
0,0,0,"3006",1,0,0,0,0,0,0,1,0,0
3,0,2,"3011",21,1,1,2,5,1,0,2,1,3
3,2,4,"3013",36,4,3,3,3,1,0,5,3,5
4,5,9,"3012",99,9,7,15,8,4,1,18,11,8
2,3,1,"3016",29,2,3,2,2,1,3,3,2,5
8,1,4,"3015",35,1,4,0,2,1,0,10,1,3
4,0,5,"3018",34,3,5,2,1,2,2,4,1,5
6,0,0,"3019",35,5,1,9,1,3,3,6,1,0
2,4,0,"3022",8,2,0,0,0,0,0,0,0,0
8,10,3,"3201",55,1,4,3,7,11,0,4,2,2
5,1,6,"3020",50,6,5,4,6,9,0,3,3,2
1,2,1,"3021",28,1,3,4,3,2,2,5,3,1
85,113,114,"3023",1032,105,105,70,69,128,23,89,63,68
43,31,33,"3024",392,22,32,48,18,25,17,74,15,34
0,0,0,"3026",1,0,1,0,0,0,0,0,0,0
20,7,3,"3027",63,3,9,1,4,8,0,2,3,3
15,22,25,"3037",229,24,18,18,14,21,10,31,10,21
10,3,5,"3028",56,5,3,4,6,6,2,6,3,3
112,111,128,"3029",1188,126,125,85,110,125,38,89,44,95
144,115,133,"3030",1220,126,174,69,84,119,16,116,51,73
0,0,0,"3202",1,1,0,0,0,0,0,0,0,0
8,4,2,"3031",30,3,0,5,0,6,0,0,1,1
3,1,3,"3032",52,5,11,3,3,4,3,12,0,4
2,3,0,"3033",26,4,4,2,5,2,1,3,0,0
0,0,1,"3034",8,1,1,3,0,1,0,1,0,0
1,2,1,"3039",20,2,3,2,3,3,0,1,2,0
1,5,8,"3040",47,3,4,4,4,2,3,2,3,8
1,2,1,"3041",19,3,1,0,4,1,1,1,3,1
3,2,2,"3042",26,2,4,0,2,6,0,2,0,3
2,6,6,"3043",25,1,0,3,3,1,0,0,1,2
12,3,9,"3044",91,15,3,7,3,11,3,8,6,11
0,0,0,"3045",0,0,0,0,0,0,0,0,0,0
6,4,17,"3046",79,4,3,4,14,6,3,6,1,11
1,4,2,"3047",19,0,1,2,1,0,2,0,5,1
2,3,2,"3048",23,8,1,2,1,1,0,1,0,2
6,1,1,"3049",37,9,2,5,5,3,0,3,1,1
1,2,1,"3087",13,4,2,0,2,0,0,1,0,0
3,3,5,"3088",39,3,9,2,3,4,0,3,2,2
0,0,0,"3051",1,0,0,0,0,0,1,0,0,0
0,0,0,"3052",2,0,1,0,0,0,0,0,1,0
