dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3025",2,1,0,0,0,1,0,0,0,0
1,0,0,"3036",37,0,36,0,0,0,0,0,0,0
0,0,0,"3054",3,0,0,0,1,1,0,1,0,0
1,0,1,"3066",3,0,0,0,0,0,1,0,0,0
1,0,7,"3201",20,1,0,0,3,3,1,2,1,1
0,0,0,"3202",0,0,0,0,0,0,0,0,0,0
1,6,1,"3000",32,1,5,4,8,1,1,4,0,0
0,0,0,"3002",0,0,0,0,0,0,0,0,0,0
0,0,0,"3003",1,0,0,0,0,0,0,0,0,1
0,0,0,"3004",2,1,0,0,1,0,0,0,0,0
0,0,0,"3006",0,0,0,0,0,0,0,0,0,0
0,1,2,"3011",6,0,2,1,0,0,0,0,0,0
0,1,0,"3013",3,0,0,0,0,1,1,0,0,0
0,1,0,"3012",4,0,0,1,1,1,0,0,0,0
1,0,0,"3016",5,0,1,0,1,1,1,0,0,0
0,0,0,"3015",3,0,0,1,1,0,0,0,1,0
0,0,1,"3018",3,0,0,1,1,0,0,0,0,0
0,0,0,"3019",0,0,0,0,0,0,0,0,0,0
0,0,0,"3022",0,0,0,0,0,0,0,0,0,0
0,0,0,"3020",5,2,1,0,2,0,0,0,0,0
0,0,1,"3021",5,0,0,0,0,1,1,2,0,0
0,0,0,"3023",4,0,0,0,1,0,0,1,0,2
0,0,0,"3024",0,0,0,0,0,0,0,0,0,0
0,0,0,"3028",3,0,1,1,0,0,0,1,0,0
0,0,2,"3029",5,1,0,1,1,0,0,0,0,0
19,1,0,"3030",30,0,0,0,1,9,0,0,0,0
0,1,0,"3031",5,0,1,0,0,0,0,0,1,2
0,0,0,"3032",3,0,0,0,2,0,0,0,0,1
0,0,0,"3033",0,0,0,0,0,0,0,0,0,0
0,0,0,"3034",0,0,0,0,0,0,0,0,0,0
0,0,0,"3037",2,0,0,0,1,0,0,0,0,1
0,0,0,"3038",1,0,0,0,0,0,0,0,1,0
1,0,0,"3039",3,0,2,0,0,0,0,0,0,0
0,0,0,"3040",4,1,1,2,0,0,0,0,0,0
0,1,0,"3041",2,0,0,0,0,0,0,0,0,1
0,0,1,"3042",2,0,0,0,0,0,0,0,0,1
0,0,0,"3787",1,0,0,0,0,1,0,0,0,0
1,0,1,"3043",2,0,0,0,0,0,0,0,0,0
0,1,0,"3788",4,0,1,1,0,0,0,0,0,1
0,2,0,"3044",6,0,1,2,0,0,0,0,1,0
0,0,0,"3046",1,1,0,0,0,0,0,0,0,0
0,1,0,"3047",2,0,0,0,0,0,0,1,0,0
1,0,0,"3048",2,0,0,0,0,0,0,1,0,0
0,1,0,"3049",3,0,0,1,0,0,0,0,1,0
0,0,0,"3087",0,0,0,0,0,0,0,0,0,0
1,0,0,"3088",6,1,0,0,0,0,0,2,1,1
0,0,0,"3051",2,0,0,0,0,0,1,0,0,1
0,0,0,"3052",0,0,0,0,0,0,0,0,0,0
0,0,0,"3053",1,0,0,0,0,0,0,0,0,1
0,1,2,"3055",7,1,1,0,0,0,0,1,0,1
0,0,0,"3056",6,1,2,0,0,1,0,2,0,0
0,0,1,"3163",3,0,1,0,1,0,0,0,0,0
4,0,1,"3057",6,0,0,0,0,1,0,0,0,0
0,1,0,"3107",2,0,0,0,0,0,0,0,1,0
1,2,1,"3058",11,2,0,0,2,0,1,1,1,0
0,0,0,"3059",0,0,0,0,0,0,0,0,0,0
