2020-05-10  08:48,1259251079268560896,"RT @simonahac: ""if we escape COVID but don’t deal with climate change, we are, almost literally, stepping out of the frying pan and into th…",2020-05-09 22:37:07,,,,Australia
2020-05-10  08:48,1259250003136122880,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 22:32:51,,,,NY
2020-05-10  08:48,1259249927001161729,"RT @lukebuckmaster: For the last two months I've been building a website &amp; now, finally, this arvo, it's live. Introducing Climate Change P…",2020-05-09 22:32:32,,,,NY
2020-05-10  08:48,1259247056616472577,RT @DawsonEJ: This is MADNESS. The government must commit to fund ARENA into the future. This kind of research is critical to building the…,2020-05-09 22:21:08,,,,"Wangi, Australia"
2020-05-10  08:48,1259247001046151168,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 22:20:55,,,,"Oakland, CA"
2020-05-10  08:48,1259246818426118145,RT @DawsonEJ: This is MADNESS. The government must commit to fund ARENA into the future. This kind of research is critical to building the…,2020-05-09 22:20:11,,,,
2020-05-10  08:48,1259243078163947520,"RT @simonahac: ""if we escape COVID but don’t deal with climate change, we are, almost literally, stepping out of the frying pan and into th…",2020-05-09 22:05:20,,,,
2020-05-10  08:48,1259234109060071424,"@OzraeliAvi What was she protesting about ? The pandemic, climate change, veganism, animal cruelty or all of the above. 
Hopefully this teachers the boy not to be like mum!",2020-05-09 21:29:41,,,,"Hawthorn, Melbourne"
2020-05-10  08:48,1259233071213285379,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 21:25:34,,,,South Portland Maine
2020-05-10  08:48,1259223809464270848,RT @Gekko_au: We Can't Ignore #ClimateChange In Our Recovery From Coronavirus | Gizmodo Australia https://t.co/S480KPvL4x,2020-05-09 20:48:46,,,,Australia
2020-05-10  08:48,1259212986935197696,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 20:05:45,,,,
2020-05-10  08:48,1259211249876824064,"RT @simonahac: ""if we escape COVID but don’t deal with climate change, we are, almost literally, stepping out of the frying pan and into th…",2020-05-09 19:58:51,,,,"Sydney, Australia"
2020-05-10  08:48,1259189969966338048,RT @DawsonEJ: This is MADNESS. The government must commit to fund ARENA into the future. This kind of research is critical to building the…,2020-05-09 18:34:18,,,,Sth Gippsland
2020-05-10  08:48,1259187433456807936,RT @DawsonEJ: This is MADNESS. The government must commit to fund ARENA into the future. This kind of research is critical to building the…,2020-05-09 18:24:13,,,,
2020-05-10  08:48,1259184952442105856,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 18:14:21,,,,Spaceship Earth
2020-05-10  08:48,1259178256579940352,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 17:47:45,,,,
2020-05-10  08:48,1259172783600394240,"RT @lukebuckmaster: For the last two months I've been building a website &amp; now, finally, this arvo, it's live. Introducing Climate Change P…",2020-05-09 17:26:00,,,,NEW JERSEY
2020-05-10  08:48,1259171724639088642,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 17:21:48,,,,USA
2020-05-10  08:48,1259167242949820416,RT @DawsonEJ: This is MADNESS. The government must commit to fund ARENA into the future. This kind of research is critical to building the…,2020-05-09 17:03:59,,,,Australia
2020-05-10  08:48,1259163515304067072,"RT @lukebuckmaster: ""As much as one-third of the world's population will be exposed to Sahara Desert-like heat within half a century if gre…",2020-05-09 16:49:10,,,,coming to a theater near you!
